iter	RMSE
624	0.3690049325
625	0.3689711995
626	0.3689512731
627	0.3689173208
628	0.3688808363
629	0.3688361842
630	0.3687846785
631	0.3687624346
632	0.368716453
633	0.3686710731
634	0.3686399207
635	0.3686094363
636	0.3685805775
637	0.3685570577
638	0.3685243338
639	0.3684925597
640	0.3684645133
641	0.3684304799
642	0.3683913271
643	0.3683684772
644	0.3683130675
645	0.3682787743
646	0.368252014
647	0.3682101526
648	0.3681611822
649	0.3681351668
650	0.3680964363
651	0.3680568026
652	0.3680130349
653	0.3679752738
654	0.367943036
655	0.3679297912
656	0.3679130579
657	0.3678816321
658	0.3678586969
659	0.3678130205
660	0.367780239
661	0.3677422435
662	0.3677069127
663	0.3676802461
664	0.3676287679
665	0.3676011533
666	0.367559799
667	0.3675314278
668	0.367505449
669	0.3674910296
670	0.3674608292
671	0.3674412314
672	0.3674167218
673	0.367405152
674	0.3673872653
675	0.3673590622
676	0.3673278008
677	0.3673027877
678	0.367275678
679	0.3672597615
680	0.3672157188
681	0.3671826816
682	0.3671385336
683	0.3671150937
684	0.3670925665
685	0.3670621407
686	0.3670240937
687	0.3669984446
688	0.3669683547
689	0.3669455325
690	0.3669064565
691	0.366879693
692	0.3668555278
693	0.3668333298
694	0.3667987875
695	0.3667714434
696	0.3667130169
697	0.3666919352
698	0.3666642206
699	0.3666523057
700	0.3666005209
701	0.3665805494
702	0.3664919443
703	0.366470522
704	0.366453349
705	0.3664184989
706	0.3664060425
707	0.3663677238
708	0.3663427533
709	0.3663101293
710	0.3662886317
711	0.3662389348
712	0.3662153608
713	0.3661903866
714	0.3661524568
715	0.3660926842
716	0.3660631198
717	0.3660108143
718	0.3659799601
719	0.3659598932
720	0.3659102343
721	0.3658717644
722	0.3658435045
723	0.3658307151
724	0.3657653805
725	0.3657331422
726	0.3657111163
727	0.3656914364
728	0.3656759118
729	0.3656105154
730	0.3655922091
731	0.3655680825
732	0.365538547
733	0.3655032913
734	0.3654731451
735	0.3654387054
736	0.3654193772
737	0.3653920651
738	0.3653564076
739	0.3653345584
740	0.3652950298
741	0.365268991
742	0.365251294
743	0.3652215906
744	0.3651912219
745	0.3651708477
746	0.3651517514
747	0.3651266875
748	0.3651086583
749	0.3650864782
750	0.365060225
751	0.365015378
752	0.3649748234
753	0.3649317197
754	0.3649127637
755	0.3648926853
756	0.3648623471
757	0.3648363505
758	0.3647923782
759	0.3647696076
760	0.3647365347
761	0.3647132306
762	0.3646943846
763	0.3646737033
764	0.3646543212
765	0.3646169162
766	0.3645959682
767	0.3645706044
768	0.3645463271
769	0.3645247008
770	0.3645171362
771	0.3644910767
772	0.3644696208
773	0.3644526922
774	0.3644199508
775	0.3643855128
776	0.3643356822
777	0.3643190198
778	0.364298679
779	0.3642394748
780	0.3642160818
781	0.364174611
782	0.3641256352
783	0.364072825
784	0.3640705447
785	0.3640395921
786	0.3640191968
787	0.3639798119
788	0.3639516672
789	0.3639317667
790	0.3639100398
791	0.3638713031
792	0.3638386654
793	0.3638082663
794	0.363779934
795	0.3637578217
796	0.3637376395
797	0.363714157
798	0.3636872828
799	0.3636612949
800	0.3636312634
801	0.3635965472
802	0.3635675752
803	0.3635333024
804	0.3635186955
805	0.3634861216
806	0.3634436784
807	0.3634153374
808	0.3634011719
809	0.3633730031
810	0.3633388788
811	0.3633150915
812	0.3632988827
813	0.363265662
814	0.3632423142
815	0.363224279
816	0.3632059437
817	0.3631643683
818	0.3631631285
819	0.3631357223
820	0.363107211
821	0.3630895362
822	0.3630755677
823	0.3630523833
824	0.3630227585
825	0.362984715
826	0.3629503733
827	0.3629184868
828	0.3628976868
829	0.3628754279
830	0.3628261125
831	0.3627762609
832	0.3627305158
833	0.3626990921
834	0.3626901535
835	0.3626838792
836	0.3626473656
837	0.3626385956
838	0.3626094698
839	0.3625834419
840	0.3625489723
841	0.3625384115
842	0.3625242178
843	0.3625138675
844	0.3624772306
845	0.3624264148
846	0.3624176878
847	0.3623751654
848	0.3623655416
849	0.3623269567
850	0.3623106405
851	0.3622871882
852	0.3622429064
853	0.3622261402
854	0.3622169157
855	0.3622024463
856	0.3621863275
857	0.3621790896
858	0.3621472767
859	0.3621226311
860	0.362099073
861	0.362071833
862	0.3620439563
863	0.362041754
864	0.3620155698
865	0.3619898597
866	0.3619517904
867	0.3619329616
868	0.3619123998
869	0.361878013
870	0.3618556903
871	0.3618228444
872	0.3618073768
873	0.3617624735
874	0.3617222279
875	0.3616973366
876	0.3616707167
877	0.3616552481
878	0.3616083459
879	0.361570475
880	0.3615350347
881	0.3615172827
882	0.3614907502
883	0.3614783947
884	0.3614663625
885	0.3614576846
886	0.3614211517
887	0.3613868969
888	0.36135766
889	0.3613341628
890	0.3613032761
891	0.3612824024
892	0.361245382
893	0.3612451979
894	0.3612246469
895	0.3612001878
896	0.3611903366
897	0.3611717624
898	0.3611529449
899	0.361134306
900	0.3611150066
901	0.3610953563
902	0.3610700549
903	0.3610374812
904	0.3610205982
905	0.3609961071
906	0.360978787
907	0.3609432188
908	0.3609257016
909	0.3608956418
910	0.3608748081
911	0.3608616089
912	0.3608486299
913	0.3608318461
914	0.3608107052
915	0.3607890031
916	0.3607706101
917	0.3607395452
918	0.3607069856
919	0.3606771698
920	0.3606056051
921	0.360585845
922	0.3605627858
923	0.3605531134
924	0.3605384735
925	0.3605251275
926	0.3605081308
927	0.3604799057
928	0.3604634396
929	0.3604523259
930	0.3604222
931	0.3604049897
932	0.36040481
933	0.3603587717
934	0.360308721
935	0.360288525
936	0.3602770185
937	0.3602305054
938	0.3602048473
939	0.3601848183
940	0.3601514814
941	0.3601075164
942	0.3600696273
943	0.360053234
944	0.3600077733
945	0.3599711519
946	0.3599478787
947	0.3599292346
948	0.3599172698
949	0.3598952908
950	0.3598599691
